marathon,year,date,city,Time,Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
boston,2016,04/18/2016,Worcester MA,9:54 AM,66.0F,-,25.0F,21%,30.23in,10.0mi,ENE,8.1mph,-,N/A,,Clear
boston,2016,04/18/2016,Worcester MA,10:54 AM,66.9F,-,27.0F,22%,30.23in,10.0mi,ENE,5.8mph,-,N/A,,Clear
boston,2016,04/18/2016,Worcester MA,11:54 AM,70.0F,-,28.0F,21%,30.21in,10.0mi,North,9.2mph,-,N/A,,Clear
boston,2016,04/18/2016,Worcester MA,12:54 PM,70.0F,-,30.0F,23%,30.19in,10.0mi,ENE,8.1mph,-,N/A,,Clear
boston,2016,04/18/2016,Worcester MA,1:54 PM,70.0F,-,30.0F,23%,30.17in,10.0mi,SSW,4.6mph,-,N/A,,Clear
boston,2016,04/18/2016,Worcester MA,2:54 PM,70.0F,-,32.0F,25%,30.14in,10.0mi,ESE,11.5mph,-,N/A,,Scattered Clouds
boston,2016,04/18/2016,Worcester MA,3:54 PM,66.9F,-,32.0F,27%,30.13in,10.0mi,East,10.4mph,20.7mph,N/A,,Mostly Cloudy
boston,2016,04/18/2016,Boston MA,9:54 AM,66.0F,-,30.9F,27%,30.22in,10.0mi,NNE,8.1mph,-,N/A,,Scattered Clouds
boston,2016,04/18/2016,Boston MA,10:54 AM,62.1F,-,36.0F,38%,30.23in,10.0mi,ENE,13.8mph,-,N/A,,Scattered Clouds
boston,2016,04/18/2016,Boston MA,11:54 AM,59.0F,-,35.1F,41%,30.23in,10.0mi,ENE,19.6mph,-,N/A,,Mostly Cloudy
boston,2016,04/18/2016,Boston MA,12:54 PM,57.0F,-,34.0F,42%,30.22in,10.0mi,ENE,17.3mph,-,N/A,,Scattered Clouds
boston,2016,04/18/2016,Boston MA,1:54 PM,53.1F,-,37.0F,55%,30.23in,10.0mi,East,13.8mph,-,N/A,,Mostly Cloudy
boston,2016,04/18/2016,Boston MA,2:54 PM,52.0F,-,37.0F,57%,30.21in,10.0mi,East,10.4mph,-,N/A,,Mostly Cloudy
boston,2016,04/18/2016,Boston MA,3:54 PM,52.0F,-,37.0F,57%,30.19in,10.0mi,ENE,11.5mph,-,N/A,,Scattered Clouds
boston,2015,04/20/2015,Worcester MA,9:54 AM,41.0F,34.3F,39.0F,93%,30.10in,10.0mi,East,11.5mph,20.7mph,N/A,,Overcast
boston,2015,04/20/2015,Worcester MA,10:54 AM,42.1F,35.7F,39.0F,89%,30.07in,8.0mi,East,11.5mph,-,0.00in,Rain,Light Rain
boston,2015,04/20/2015,Worcester MA,11:54 AM,41.0F,33.9F,39.0F,93%,30.05in,4.0mi,ENE,12.7mph,20.7mph,0.07in,Rain,Rain
boston,2015,04/20/2015,Worcester MA,1:02 PM,41.0F,34.3F,39.0F,93%,29.98in,3.0mi,ENE,11.5mph,-,0.01in,Rain,Light Rain
boston,2015,04/20/2015,Worcester MA,1:54 PM,42.1F,35.7F,39.9F,92%,29.96in,0.8mi,ENE,11.5mph,21.9mph,0.04in,Rain,Light Rain
boston,2015,04/20/2015,Worcester MA,2:54 PM,43.0F,38.8F,42.1F,97%,29.95in,0.5mi,ENE,6.9mph,-,0.05in,Rain,Rain
